DEFECTID,CLASSNUMBER,a_6_FINEBINNUMBER,g_6_SIZE_DW1O,g_6_SIZE_DW2O,i_6_SIZE_DNO,i_6_SIZE_DW1O,i_6_SIZE_DW2O,j_6_SIZE_DNO,j_6_SIZE_DW1O,j_6_SIZE_DW2O,k_6_SIZE_DW1O,k_6_SIZE_DW2O,ClassNum,Flag_ReviewSample,RoughBin,Confidence,RBBLabel
8704,2,20,0.1939,0.1974,0.7633,0.2384,0.3651,0.297,0.3284,0.8131,0.7486,0.1672,2,1,1,0,3
9252,2,0,0.1126,0.1553,0.744,0.1896,0.2557,0.3053,0.3818,0.4786,0.5966,0.1752,2,1,1,0,1
9643,3,90,0.1867,0.1586,1.1842,0.2383,0.3331,0.2407,0.183,0.6519,0.2684,0.23,3,1,3,0,2
9696,10,90,0.0876,0,0.4651,0.1077,0.2315,0,0.2166,0.3508,0.3592,0.1555,10,1,2,0,3
9984,3,90,0.1538,0.1544,1.0065,0.1798,0.6213,0.2459,0.3757,0.8258,0.6505,0.2257,3,1,3,0,3
10372,2,90,0.096,0.1504,0.6689,0.156,0.216,0.1575,0.1949,0.2537,0.3014,0,2,1,1,0,3
10410,10,0,0.1416,0.1491,0.6091,0.2317,0.4292,0.2098,0.2792,0.4121,0.7916,0.2007,10,1,2,0,2
10567,3,90,0.1251,0,0.7476,0.1576,1.1277,0.2265,0.2297,0.4827,1.0296,0.2104,3,1,3,0,2
10983,2,0,0.1372,0.1613,1.5003,0.1926,0.2668,0.3493,0.4674,0.6763,0.744,0.1604,2,1,1,0,1
11523,3,0,0.1466,0.1474,0.8698,0.1874,0.3171,0.2431,0.2583,0.454,0.4008,0.1738,3,1,3,0,3
11543,2,1,0.1158,0.1503,0.7427,0.2087,0.2296,0.2222,0.2832,0.3912,0.4598,0,2,1,1,0,1
11673,2,0,0.1559,0.1597,1.1333,0.225,0.373,0.23,0.4699,0.8864,0.7186,0.2128,2,1,1,0,1
11761,70,0,0.094,0,1.0166,0.1822,0.2437,0.2888,0.5596,0.3571,0.8957,0.1348,70,1,1,0,1
12513,2,0,0.1222,0,1.4261,0.1483,0.313,0.2787,0.3309,0.5402,0.5502,0.1999,2,1,1,0,1
12708,10,0,0.0811,0,0.2838,0.1018,0.1822,0,0.1453,0.2202,0.2001,0,10,1,2,0,2
13808,3,20,0.1426,0.1416,1.1711,0.1219,0.3964,0.1997,0.3347,0.8171,0.6821,0.2444,3,1,3,0,3
14684,3,0,0.1434,0.1409,1.0315,0.1732,0.3382,0.2065,0.2894,0.5778,0.5737,0.1713,3,1,3,0,3
15249,3,20,0.0839,0,0.3203,0.1252,0.2185,0,0.174,0.2549,0.2316,0.1353,3,1,3,0,3
15371,10,20,0.112,0,0.8571,0.1417,0.2766,0.1935,0.2452,0.4522,0.4494,0.2093,10,1,2,0,2
16107,2,20,0.3141,0.2745,4.7957,0.6648,1.1598,1.1621,1.2612,2.0608,1.9042,0.2131,2,1,1,0,1
16140,2,1,0.1391,0.1406,2.119,0.1515,0.2352,0.2365,0.2886,0.4142,0.513,0.1471,2,1,1,0,1
16419,10,0,0.0832,0,0.2543,0.095,0.192,0,0.1245,0.2144,0.18,0,10,1,2,0,2
17019,3,20,0.1563,0,1.5369,0.1868,0.5542,0.2457,0.4989,0.9473,0.7377,0.218,3,1,3,0,3
18725,10,20,0.1166,0,0.4899,0.1546,0.2803,0.1402,0.2009,0,0.3296,0.1892,10,1,2,0,2
19738,3,90,0.0942,0,0.2863,0.1423,0.223,0,0.1607,0.2336,0.2217,0,3,1,3,0,2
19980,10,90,0.0895,0,0.7601,0.1505,0.2427,0.1724,0.228,0.3504,0.4045,0.1543,10,1,2,0,3
20373,10,0,0.1849,0.1764,0.4099,0.2002,0.4647,0.3225,0.3413,0.8874,0.5754,0.3661,10,1,2,0,2
20734,10,0,0.1289,0,0.4101,0.1611,0.6474,0.1682,0.2147,0.4275,0.4039,0.2136,10,1,2,0,2
20820,10,20,0.1396,0.1401,0.3521,0.1611,0.3562,0.1615,0.2062,0.443,0.8445,0.2116,10,1,2,0,2
22344,10,0,0.1076,0,0.498,0.1715,0.2533,0.1389,0.2076,0.2873,0.2904,0.1594,10,1,2,0,2
23392,10,0,0.1278,0,0.4657,0.1365,0.2803,0.1413,0.2025,0.3799,0.3062,0.2066,10,1,2,0,2
23759,10,1,0.1501,0,0.4816,0.1668,1.2128,0.2145,0.2121,0.4306,0.7142,0.2077,10,1,2,0,2
24754,2,10,0,0,0.2461,0.0901,0.1573,0,0.1418,0.1964,0.1835,0,2,1,1,0,2
25136,3,1,0.0977,0,2.115,0.1416,0.2293,0.2479,0.2212,0.3153,0.3639,0.1418,3,1,3,0,3
25871,10,0,0.0898,0,0.2651,0.0998,0.2099,0,0.1509,0.2424,0.2078,0.1506,10,1,2,0,2
26722,10,20,0.1249,0.141,0.4062,0.1723,0.4805,0.1526,0.2182,0.3364,2.3573,0.1918,10,1,2,0,2
27311,75,0,0.0991,0.2,1.1638,0.1063,0.1752,0.5149,0.345,0.4776,0.6527,0,75,1,1,0,1
27601,3,90,0.1316,0.1514,0.6579,0.1799,0.3064,0.1768,0.2447,0.4035,0.573,0.1567,3,1,3,0,3
29914,2,0,0.101,0,0.7943,0.1729,0.2044,0,0.2405,0,0.4346,0.1641,2,1,1,0,1
30040,70,1,0.1003,0,0.8788,0.1753,0.2765,0.3106,0.2944,0.5254,0.6095,0.1797,70,1,1,0,1
30101,2,1,0.1494,0,0,0.3211,0.2569,0.243,0.2625,0,0,0,2,1,1,0,1
32637,3,90,0.0933,0,0.6839,0.1558,0.23,0.2418,0.2085,0.2913,0.4603,0,3,1,3,0,3
33430,3,20,0.099,0.152,200000,0.3278,1.1388,0.2066,0.4486,0,0,0,3,1,3,0,3
33484,10,0,0.1054,0,0.9146,0.1587,0.2341,0.2797,0.2777,0.3567,0.6558,0.1755,10,1,2,0,1
34012,3,20,0.1727,0.1715,1.2607,0.2161,0.5845,0.3001,0.5239,0.9105,0.6522,0.2354,3,1,3,0,3
34394,2,20,0.1304,0,0.4025,0.1574,0.2955,0.2556,0.3697,0.4263,0.304,0.2391,2,1,1,0,1
34424,2,1,0.1417,0,0.8733,0.212,0.5969,0.2074,0.7394,0.6279,1.4128,0.2487,2,1,1,0,1
34663,10,20,0.0985,0,0,0.152,0.2565,0.1513,0.1733,0.2692,0.2261,0.1843,10,1,2,0,2
35339,70,90,0.0825,0.1734,0,0.2158,0.1203,0.2322,1.0123,1.1229,200000,0.2583,70,1,1,0,1
35871,3,20,0.1239,0.1519,1.8177,0.1612,0.2814,0.2487,0.2688,0.4241,0.5753,0.1484,3,1,3,0,3
35942,2,0,0.174,0.1631,1.6914,0.2077,0.2781,0.2158,0.4448,0.4934,0.6376,0.1364,2,1,1,0,1
36419,10,90,0.1275,0.1452,0.602,0.1095,0.2646,0.2418,0.2177,0.3904,0.6318,0.2052,10,1,2,0,2
36616,10,0,0.1037,0,0.3554,0.1478,0.2506,0.2246,0.2471,0.4924,0.6169,0.2187,10,1,2,0,1
36653,3,20,0.2167,0.1858,5.5861,0.3181,0.9609,0.6931,0.6262,1.6003,1.4035,0.2413,3,1,3,0,3
37184,2,0,0.14,0.1641,3.2181,0.2506,0.5854,0.4015,0.6385,1.3612,1.0713,0.232,2,1,1,0,1
37602,10,0,0.0849,0.1581,0.2206,0.1051,0.1985,0,0.1331,0.207,0,0,10,1,2,0,2
38573,2,90,0.113,0,0.7865,0.1635,0.2273,0.198,0.2327,0.3403,0.3614,0,2,1,1,0,1
38581,10,90,0,0,0.5326,0.1518,0.2361,0,0.2182,0.2871,0.2822,0,10,1,2,0,2
38853,2,0,0.1412,0,0.8202,0.1603,0.278,0.2081,0.2791,0.6275,0.5309,0.1911,2,1,1,0,1
38907,10,0,0.0884,0,0.2903,0.1052,0.208,0,0.1547,0.2322,0.2164,0,10,1,2,0,2
39514,2,90,0.106,0.1485,0.979,0.1651,0.2315,0.2186,0.2911,0.4125,0.43,0.1535,2,1,1,0,1
40983,10,0,0.0986,0,0.3912,0.2288,0.8734,0.2273,0.2225,0.9339,0.8072,0.3611,10,1,2,0,2
41036,10,90,0.0907,0,0.489,0.1245,0.2122,0,0.1916,0.273,0.2474,0,10,1,2,0,2
41157,3,0,0.1044,0.1431,200000,0.1718,2.203,0.2609,0.4009,0.6576,200000,0.1902,3,1,3,0,3
41414,75,0,0.1922,0.183,1.126,0.2394,0.4513,0,0.6873,0.6169,0.8984,0,75,1,1,0,1
41828,2,0,0.1265,0.2029,1.6668,0.3246,0.2597,0.2838,0.9543,0.5045,1.6609,0.1496,2,1,1,0,1
41986,3,0,0.15,0.1535,1.0171,0.2082,0.4374,0.2061,0.3711,0.8874,0.6815,0.1705,3,1,3,0,3
42506,10,0,0.1416,0,0.8826,0.1693,0.4143,0.1706,0.2565,0.5212,0.8959,0.2025,10,1,2,0,3
43134,3,0,0.1055,0,0.7864,0.2004,0.3927,0.2317,0.3072,0.9247,0.6666,0.2591,3,1,3,0,3
43850,10,0,0.1091,0,0.3088,0.1579,0.2632,0.1528,0.1972,0.3104,0.3073,0.1645,10,1,2,0,2
44527,10,0,0.1175,0,0.3472,0.1168,0.3935,0,0.162,0.3225,0.2428,0.1958,10,1,2,0,2
45826,2,1,0,0,0.5785,0.1084,0.1759,0.17,0.2108,0.2756,0.4915,0,2,1,1,0,1
47057,10,0,0,0,0,0,0.1452,0,0.1068,0.1863,0.1555,0,10,1,2,0,2
47387,10,90,0.0926,0,0.2675,0.133,0.2636,0.1999,0.1992,0.31,0.2632,0.1722,10,1,2,0,2
48272,10,0,0.1255,0,0.3258,0.2054,0.584,0.136,0.2786,0.7758,0.4422,0.2557,10,1,2,0,2
48813,10,0,0.1962,0.1943,0.7448,0.2673,1.0518,0.2657,0.4308,1.1196,0.7423,0.5645,10,1,2,0,2
49031,2,0,0.1773,0.1612,0.6676,0.2591,0.5598,0.2543,0.4523,0.7028,0.6257,0.2187,2,1,1,0,3
49652,10,0,0.2151,0.1599,0.391,0.1839,0.4143,0.192,0.2282,0.7512,0.551,0.2534,10,1,2,0,2
49772,10,0,0.0929,0,0.2952,0.1491,0.2484,0,0.1753,0.2789,0.2491,0.1654,10,1,2,0,2
50291,3,20,0.1425,0.143,0.4905,0.3941,0.3945,0,0.3492,0.6911,0.6113,0.1624,3,1,3,0,3
